Anglicized title(s),Number of verses (Number of Rukūʿs)
Al-Fatihah,7
Al-Baqarah,286
Aali 'Imran,200
An-Nisa,176
Al-Ma'idah,120
Al-An'am,165
Al-A'raf,206
Al-Anfal,75
At-Tawbah,129
Yunus,109
Hud,123
Yusuf,111
Ar-Ra'd,43
Ibrahim,52
Al-Hijr,99
An-Nahl,128
Al-Isra,111
Al-Kahf,110
Maryam,98
Ta-Ha,135
Al-Anbiya,112
Al-Hajj,78
Al-Mu'minun,118
An-Nur,64
Al-Furqan,77
Ash-Shu'ara,227
An-Naml,93
Al-Qasas,88
Al-Ankabut,69
Ar-Rum,60
Luqmaan,34
As-Sajdah,30
Al-Ahzaab,73
Saba,54
Faatir,45
Ya-Sin,83
As-Saaffaat,182
Saad,88
Az-Zumar,75
Ghafir,85
Fussilat,54
Ash-Shura,53
Az-Zukhruf,89
Ad-Dukhaan,59
Al-Jaathiyah,37
Al-Ahqaaf,35
Muhammad,38
Al-Fath,29
Al-Hujuraat,18
Qaaf,45
Adh-Dhaariyaat,60
At-Toor,49
An-Najm,62
Al-Qamar,55
Ar-Rahman,78
Al-Waqi'ah,96
Al-Hadeed,29
Al-Mujadila,22
Al-Hashr,24
Al-Mumtahanah,13
As-Saff,14
Al-Jumu'ah,11
Al-Munafiqoon,11
At-Taghabun,18
At-Talaq,12
At-Tahreem,12
Al-Mulk,30
Al-Qalam,52
Al-Haaqqa,52
Al-Ma'aarij,44
Nuh,28
Al-Jinn,28
Al-Muzzammil,20
Al-Muddaththir,56
Al-Qiyamah,40
Al-Insaan|Ad-Dahr,31
Al-Mursalaat,50
An-Naba',40
An-Naazi'aat,46
Abasa,42
At-Takweer,29
Al-Infitar,19
Al-Mutaffifeen,36
Al-Inshiqaaq,25
Al-Burooj,22
At-Taariq,17
Al-A'la,19
Al-Ghaashiyah,26
Al-Fajr,30
Al-Balad,20
Ash-Shams,15
Al-Layl,21
Ad-Dhuha,11
Ash-Sharh (Al-Inshirah),8
At-Tin,8
Al-Alaq,19
Al-Qadr,5
Al-Bayyinah,8
Az-Zalzalah,8
Al-'Aadiyat,11
Al-Qaari'ah,11
At-Takaathur,8
Al-'Asr,3
Al-Humazah,9
Al-Feel,5
Quraish,4
Al-Maa'oon,7
Al-Kawthar,3
Al-Kaafiroon,6
An-Nasr,3
Al-Masad,5
Al-Ikhlas,4
Al-Falaq,5
An-Naas,6
,
